text,label
Hello how are you,0
Let's meet tomorrow,0
This is not spam just checking in,0
Please review the attached document,0
Following up on our discussion from last week,0
Can we schedule a call for next Tuesday?,0
Thank you for your recent purchase,0
I wanted to share the meeting notes with you,0
Your order has been shipped successfully,0
Happy birthday! Hope you have a great day,0
Could you please update the project timeline?,0
Attaching the quarterly report for your review,0
Thanks for helping with the presentation yesterday,0
Please find the invoice attached,0
Looking forward to our collaboration,0
Just confirming our appointment for Friday,0

Win money now,1
Urgent! You have won cash,1
Claim your free reward now,1
Congratulations you won a prize,1
YOU HAVE WON $3,000,000! Click here to claim,1
Your account has been suspended. Verify now,1
Act now! Limited time inheritance claim,1
Federal grant money available for you,1
Your PayPal account needs verification,1
Lottery winner! Claim your prize money,1
Debt relief offer - eliminate your debt today,1
Investment opportunity with 300% returns,1
Work from home and earn $5000 weekly,1
Your package is being held - pay shipping now,1
Bank account verification required immediately,1
You have been selected for a special prize,1
Urgent security alert for your email account,1
Royal family inheritance - claim your share,1
Medical alert: Your prescription is ready,1
Car warranty extension offer - save money,1

₹7,499 sale ends soon,2
Free offer just for you,2
Shop for what you've wanted all season,2
Limited time deal – save now,2
Flash Sale: 70% off all electronics,2
Subscribe to our newsletter for exclusive deals,2
New collection now available - shop today,2
Black Friday deals start now,2
Free shipping on orders over $50,2
Join our loyalty program and save more,2
Seasonal clearance - up to 80% off,2
New customer special: 20% off first purchase,2
Limited edition items available now,2
Upgrade your plan and save 30%,2
Holiday specials - gift ideas for everyone,2
Try our premium service free for 30 days,2
Bundle deals available - save on packages,2
Early bird pricing ends tomorrow,2
Exclusive member discounts inside,2
Summer sale - beachwear 50% off,2
Restaurant week specials - dine out cheaper,2
